lsoa code (2011),lsoa code (2021),IMD rank,IMD dec,income,employment,EST,health and disability,crime,barriers to housing and services,living environment
E01007854,E01007854,"6,577",3,2,2,2,3,6,7,5
E01007855,E01007855,"3,695",2,2,2,1,1,5,6,2
E01007856,E01007856,"1,983",1,1,1,1,2,1,6,3
E01007857,E01007857,"2,683",1,1,1,1,1,2,7,4
E01007858,E01007858,"25,266",8,8,6,10,6,7,6,6
E01007859,E01034843,"24,440",8,10,10,10,8,8,3,1
E01007860,E01034843,"23,450",8,9,9,10,6,4,5,2
E01007861,E01007861,"32,019",10,10,10,10,8,8,8,7
E01007862,E01007862,"31,043",10,10,10,10,10,10,2,8
E01007863,E01007863,"28,778",9,10,10,10,8,5,7,4
E01007864,E01007864,"28,630",9,10,10,10,6,6,7,3
E01007865,E01007865,"28,570",9,9,10,10,9,8,9,2
E01007866,E01007866,"29,188",9,9,10,10,7,8,6,4
E01007867,E01007867,"23,539",8,9,10,10,3,7,6,2
E01007868,E01007868,"25,816",8,8,9,10,4,6,10,5
E01007869,E01007869,"2,370",1,1,1,2,3,1,6,1
E01007870,E01007870,"2,418",1,2,1,2,1,1,6,1
E01007871,E01007871,"4,029",2,2,1,2,2,2,4,6
E01007872,E01007872,"5,226",2,2,3,3,2,1,5,1
E01007873,E01007873,"2,029",1,1,1,2,1,2,2,5
E01007874,E01007874,"1,964",1,1,1,2,1,3,5,7
E01007875,E01007875,792,1,1,1,1,1,1,5,5
E01007877,E01034842,"2,476",1,2,2,1,1,2,5,3
E01007878,E01007878,"3,289",2,1,2,1,2,3,4,6
